source,rank,x1,y1,x2,y2,length,angle_degrees
cnn_or_selected_backend,273,872.0,1041.0,970.0,1018.0,100.66280345788111,166.7920715372209
cnn_or_selected_backend,274,928.0,746.0,958.0,842.0,100.57832768544127,72.64597536373867
cnn_or_selected_backend,275,506.0,828.0,606.0,835.0,100.24470060806208,4.004172940709387
cnn_or_selected_backend,276,350.0,961.0,450.0,966.0,100.12492197250393,2.8624052261117474
cnn_or_selected_backend,277,182.0,400.0,185.0,500.0,100.04498987955368,88.28164199834454
cnn_or_selected_backend,278,756.0,934.0,855.0,946.0,99.72462083156798,6.911227119024681
cnn_or_selected_backend,279,328.0,1201.0,424.0,1175.0,99.45853407325085,164.8459319496874
cnn_or_selected_backend,280,179.0,1026.0,278.0,1019.0,99.24716620639605,175.9555144258189
cnn_or_selected_backend,281,1004.0,936.0,1103.0,929.0,99.24716620639605,175.9555144258189
cnn_or_selected_backend,282,137.0,176.0,143.0,275.0,99.18165152889924,86.53177074108285
cnn_or_selected_backend,283,587.0,939.0,588.0,840.0,99.00505037623081,90.57872556560775
cnn_or_selected_backend,284,963.0,920.0,963.0,821.0,99.0,90.0
cnn_or_selected_backend,285,570.0,1272.0,669.0,1272.0,99.0,0.0
cnn_or_selected_backend,286,815.0,920.0,913.0,923.0,98.04590761474952,1.7534048600715397
cnn_or_selected_backend,287,879.0,929.0,976.0,920.0,97.41663102366043,174.6990734834743
cnn_or_selected_backend,288,760.0,946.0,856.0,931.0,97.16480844420988,171.11934084947976
cnn_or_selected_backend,289,177.0,896.0,182.0,993.0,97.12878049270464,87.04922089099365
cnn_or_selected_backend,290,928.0,876.0,1025.0,881.0,97.12878049270464,2.9507791090063504
cnn_or_selected_backend,291,949.0,979.0,951.0,882.0,97.02061636580135,91.18118891332664
cnn_or_selected_backend,292,1105.0,1026.0,1105.0,929.0,97.0,90.0
cnn_or_selected_backend,293,248.0,970.0,341.0,994.0,96.04686356149273,14.470294100065887
cnn_or_selected_backend,294,1102.0,989.0,1103.0,893.0,96.00520819205592,90.59680945122918
cnn_or_selected_backend,295,1096.0,120.0,1096.0,24.0,96.0,90.0
cnn_or_selected_backend,296,429.0,960.0,524.0,963.0,95.04735661763561,1.8087393224920654
cnn_or_selected_backend,297,497.0,1035.0,499.0,1130.0,95.02105029939419,88.79395122078004
cnn_or_selected_backend,298,229.0,1004.0,322.0,987.0,94.54099639838793,169.6409475119163
cnn_or_selected_backend,299,1010.0,1022.0,1104.0,1026.0,94.08506789071261,2.436648246810131
cnn_or_selected_backend,300,317.0,1015.0,410.0,1001.0,94.04786015641186,171.4391104288354
cnn_or_selected_backend,301,752.0,858.0,846.0,860.0,94.02127418834527,1.2188752351312977
cnn_or_selected_backend,302,274.0,1190.0,367.0,1189.0,93.00537618869137,179.38394009160078
canny_control,1,1109.0,1270.0,1109.0,0.0,1270.0,90.0
canny_control,2,544.0,714.0,1063.0,1020.0,602.4923236025502,30.523404813462967
